# ----------------------------------------
# Mobile Data
# New Users
# 20160801-20160831
# ----------------------------------------

Day Index,New Users
8/1/16,118
8/2/16,135
8/3/16,120
8/4/16,150
8/5/16,194
8/6/16,138
8/7/16,82
8/8/16,88
8/9/16,106
8/10/16,114
8/11/16,137
8/12/16,141
8/13/16,139
8/14/16,155
8/15/16,172
8/16/16,157
8/17/16,151
8/18/16,175
8/19/16,193
8/20/16,168
8/21/16,227
8/22/16,181
8/23/16,131
8/24/16,183
8/25/16,143
8/26/16,136
8/27/16,176
8/28/16,178
8/29/16,154
8/30/16,172
8/31/16,154
,"4,668"
